Repos,topic,commits,contributors,issues,pulls,releases
ApolloAuto/apollo,autonomy,17536,271,13254,10335,9
AutonomyLab/ardrone_autonomy,autonomy,296,11,227,49,0
facebook/openr,autonomy,6220,86,74,32,14
uber/xviz,autonomy,406,24,622,371,20
uber/streetscape.gl,autonomy,352,12,477,322,14
mlech26l/keras-ncp,autonomy,18,3,10,1,1
AutonomyLab/bebop_autonomy,autonomy,159,9,219,53,6
cedricxie/apollo_perception_ros,autonomy,15,1,16,0,0
jizhang-cmu/ground_based_autonomy_basic,autonomy,109,1,5,3,0
eschnou/ardrone-autonomy,autonomy,49,2,29,4,0
AutonomyLab/ardrone_autonomy,ardrone-autonomy,296,11,227,49,0
eschnou/ardrone-autonomy,ardrone-autonomy,49,2,29,4,0
AutonomyLab/bebop_autonomy,bebop-autonomy,159,9,219,53,6
uber/xviz,data-autonomy,406,24,622,371,20
uber/streetscape.gl,data-autonomy,352,12,477,322,14
ApolloAuto/apollo,autonomous-vehicles,17536,271,13254,10335,9
AtsushiSakai/PythonRobotics,autonomous-vehicles,1569,70,453,232,0
microsoft/AirSim,autonomous-vehicles,2343,159,3255,594,18
Autoware-AI/autoware.ai,autonomous-vehicles,3570,74,2362,1318,16
carla-simulator/carla,autonomous-vehicles,4756,96,3757,868,22
cyberbotics/webots,autonomous-vehicles,12404,46,2612,1848,11
microsoft/AutonomousDrivingCookbook,autonomous-vehicles,46,4,121,7,0
manfreddiaz/awesome-autonomous-vehicles,autonomous-vehicles,73,7,19,14,0
ArduPilot/apm_planner,autonomous-vehicles,4681,83,1223,377,1
lgsvl/simulator,autonomous-vehicles,1253,19,1199,27,26
daohu527/Dig-into-Apollo,autonomous-vehicles,378,2,29,17,1
pptacher/probabilistic_robotics,autonomous-vehicles,232,1,8,1,0
intel-isl/OpenBot,autonomous-vehicles,197,15,140,66,2
linorobot/linorobot,autonomous-vehicles,212,5,55,12,9
BichenWuUCB/SqueezeSeg,autonomous-vehicles,46,1,54,3,0
AtsushiSakai/MATLABRobotics,autonomous-vehicles,69,1,3,0,0
AutoRally/autorally,autonomous-vehicles,614,22,93,36,7
cfzd/Ultra-Fast-Lane-Detection,autonomous-vehicles,50,2,152,4,0
dctian/DeepPiCar,autonomous-vehicles,81,2,14,2,0
AndreiBarsan/DynSLAM,autonomous-vehicles,351,2,64,1,0
jiachenli94/Awesome-Interaction-aware-Trajectory-Prediction,autonomous-vehicles,108,14,16,16,0
DeepTecher/awesome-autonomous-vehicle,autonomous-vehicles,27,1,2,1,0
galenballew/SDC-Lane-and-Vehicle-Detection-Tracking,autonomous-vehicles,15,2,5,1,0
tier4/AutowareArchitectureProposal,autonomous-vehicles,80,14,156,95,0
karanchawla/GPS_IMU_Kalman_Filter,autonomous-vehicles,22,2,14,0,0
AtsushiSakai/HybridAStarTrailer,autonomous-vehicles,65,1,13,0,1
cedricxie/apollo_perception_ros,autonomous-vehicles,15,1,16,0,0
h1st-ai/h1st,autonomous-vehicles,239,9,63,41,1
intel/ad-rss-lib,autonomous-vehicles,116,8,93,79,15
UjjwalSaxena/Automold--Road-Augmentation-Library,autonomous-vehicles,36,1,10,3,0
rohanchandra30/Spectral-Trajectory-and-Behavior-Prediction,autonomous-vehicles,67,5,43,4,0
thibo73800/metacar,autonomous-vehicles,75,1,37,5,0
libornovax/master_thesis_code,autonomous-vehicles,213,1,64,4,0
jfrux/workbench,autonomous-vehicles,240,4,82,11,41
s7ev3n/MPC_Code,autonomous-vehicles,2,1,3,0,0
usdot-fhwa-stol/carma-platform,autonomous-vehicles,5789,27,1022,504,9
robotics-at-maryland/qubo,autonomous-vehicles,1370,24,73,63,0
philbort/awesome-self-driving-cars,autonomous-vehicles,47,2,2,2,0
tkwoo/StereoVisionforADAS,autonomous-vehicles,4,1,2,0,0
uf-mil/NaviGator,autonomous-vehicles,1577,22,500,314,0
datlife/jetson-car,autonomous-vehicles,242,1,12,0,0
xiaoyuyang0901/Simulation-platform,autonomous-vehicles,35,1,1,1,0
sigmaai/self-driving-golf-cart,autonomous-vehicles,449,3,24,11,5
Amin-Tgz/awesome-CARLA,autonomous-vehicles,62,5,9,8,0
uf-mil/SubjuGator,autonomous-vehicles,1616,21,413,320,0
PX4/PX4-Autopilot,autonomous,33991,308,16476,10428,88
ApolloAuto/apollo,autonomous,17536,271,13254,10335,9
microsoft/AirSim,autonomous,2343,159,3255,594,18
ArduPilot/MissionPlanner,autonomous,5341,75,2529,362,6
carla-simulator/carla,autonomous,4756,96,3757,868,22
hamuchiwa/AutoRCCar,autonomous,71,2,254,13,0
microsoft/AutonomousDrivingCookbook,autonomous,46,4,121,7,0
manfreddiaz/awesome-autonomous-vehicles,autonomous,73,7,19,14,0
KumarRobotics/msckf_vio,autonomous,31,5,99,4,0
samyk/skyjack,autonomous,16,1,9,3,0
lgsvl/simulator,autonomous,1253,19,1199,27,26
generalized-intelligence/GAAS,autonomous,589,10,124,9,1
boramalper/magnetico,autonomous,317,19,265,72,16
NVIDIA-AI-IOT/redtail,autonomous,71,5,158,21,3
kujason/avod,autonomous,6,4,184,5,0
intel-isl/OpenBot,autonomous,197,15,140,66,2
MarvinTeichmann/MultiNet,autonomous,52,5,63,11,0
linorobot/linorobot,autonomous,212,5,55,12,9
flow-project/flow,autonomous,3718,44,1030,574,7
visionworkbench/visionworkbench,autonomous,4542,26,64,24,0
protontypes/awesome-robotic-tooling,autonomous,996,18,30,28,0
tum-vision/tum_ardrone,autonomous,44,4,104,31,0
NVIDIA-AI-IOT/jetracer,autonomous,215,3,88,11,0
dctian/DeepPiCar,autonomous,81,2,14,2,0
jwchoi384/Gaussian_YOLOv3,autonomous,49,3,67,2,0
correll/Introduction-to-Autonomous-Robots,autonomous,288,15,43,25,13
bostondiditeam/MV3D,autonomous,535,11,49,15,0
beedotkiran/Lidar_For_AD_references,autonomous,47,4,5,4,0
alexliniger/MPCC,autonomous,43,5,54,8,0
mileyan/pseudo_lidar,autonomous,22,2,49,1,0
eleurent/highway-env,autonomous,918,11,129,21,1
HKUST-Aerial-Robotics/Stereo-RCNN,autonomous,13,1,80,1,0
Tribler/self-compile-Android,autonomous,72,2,7,2,0
cambridgecoding/drone,autonomous,3,1,1,1,0
DeepTecher/awesome-autonomous-vehicle,autonomous,27,1,2,1,0
pulp-platform/pulp-dronet,autonomous,13,2,8,0,0
nmccrea/sobot-rimulator,autonomous,345,4,8,5,1
tsinghua-rll/VoxelNet-tensorflow,autonomous,59,3,72,5,0
galenballew/SDC-Lane-and-Vehicle-Detection-Tracking,autonomous,15,2,5,1,0
PiStuffing/Quadcopter,autonomous,160,1,3,0,0
eschnou/ardrone-webflight,autonomous,113,8,67,25,0
DJTobias/Cherry-Autonomous-Racecar,autonomous,212,2,6,0,0
PRBonn/lidar-bonnetal,autonomous,5,1,79,6,0
