Repos,topic,commits,contributors,issues,pulls,releases,size,stars,forks,open_issues,archived,created_at,updated_at,language,homepage,description
apache/incubator-mxnet,deep-learning,11497,381,19378,10207,23,89190,19211,6803,1807,FALSE,2015-04-30T16:21:15Z,2021-01-07T11:20:03Z,C++,https://mxnet.apache.org,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more"
microsoft/onnxruntime,scikit-learn,4005,234,6237,4625,23,334884,3885,883,294,FALSE,2018-11-10T02:22:53Z,2021-01-07T22:09:30Z,C++,https://onnxruntime.ai,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator"
tesseract-ocr/tesseract,machine-learning,4999,129,3200,1228,10,47199,38098,7030,321,FALSE,2014-08-12T18:04:59Z,2021-01-07T19:15:52Z,C++,https://tesseract-ocr.github.io/,Tesseract Open Source OCR Engine (main repository)
mozilla/DeepSpeech,machine-learning,3331,128,3478,1573,105,50164,16241,3013,93,FALSE,2016-06-02T15:04:53Z,2021-01-07T19:59:13Z,C++,,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices ranging from a Raspberry Pi 4 to high power GPU servers."
interpretml/interpret,scikit-learn,1449,19,188,30,26,4765,3370,423,44,FALSE,2019-05-03T05:47:52Z,2021-01-07T20:25:11Z,C++,,Fit interpretable models. Explain blackbox machine learning. 
explosion/spaCy,machine-learning,11719,406,6356,2142,72,179575,17968,3201,87,FALSE,2014-07-03T15:15:40Z,2021-01-07T20:10:52Z,Python,https://spacy.io,💫 Industrial-strength Natural Language Processing (NLP) with Python and Cython
RaRe-Technologies/gensim,machine-learning,4078,344,3016,1465,34,102235,11560,3890,352,FALSE,2011-02-10T07:43:04Z,2021-01-07T14:02:17Z,Python,,Topic Modelling for Humans
sebastianruder/NLP-progress,machine-learning,715,238,523,438,3,1177,17567,3021,25,FALSE,2018-06-22T17:43:55Z,2021-01-07T16:09:13Z,Python,https://nlpprogress.com/,"Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks."
PaddlePaddle/models,deep-learning,4546,221,5180,3293,8,370325,5544,2552,895,FALSE,2017-04-20T13:30:15Z,2021-01-07T13:45:43Z,Python,,Pre-trained and Reproduced Deep Learning Models （『飞桨』官方模型库，包含多种学术前沿和工业场景验证的深度学习模型）
jupyterhub/zero-to-jupyterhub-k8s,jupyter-notebook,4043,154,1964,999,18,9093,830,487,84,FALSE,2017-04-10T19:25:35Z,2021-01-05T02:47:26Z,Python,https://zero-to-jupyterhub.readthedocs.io,Helm Chart & Documentation for deploying JupyterHub on Kubernetes
d2l-ai/d2l-zh,machine-learning,3029,141,610,610,10,189781,19646,5066,4,FALSE,2017-08-23T04:40:24Z,2021-01-07T19:52:12Z,Python,http://zh.d2l.ai,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被全球175所大学采用教学。
gunthercox/ChatterBot,machine-learning,1847,91,2086,665,86,4336,10693,3656,216,FALSE,2014-09-28T14:49:00Z,2021-01-07T12:34:47Z,Python,https://chatterbot.readthedocs.io,"ChatterBot is a machine learning, conversational dialog engine for creating chat bots"
biolab/orange3,scikit-learn,12936,82,5151,3490,29,84436,2558,688,75,FALSE,2013-02-22T12:52:56Z,2021-01-07T21:20:58Z,Python,,🍊 :bar_chart: :bulb: Orange: Interactive data analysis https://orange.biolab.si
deepfakes/faceswap,machine-learning,1213,69,1106,444,3,199126,33823,10490,15,FALSE,2017-12-19T09:44:13Z,2021-01-07T16:33:37Z,Python,https://www.faceswap.dev,Deepfakes Software For All
microsoft/recommenders,jupyter-notebook,6261,67,1275,743,6,201407,8943,1545,107,FALSE,2018-09-19T10:06:07Z,2021-01-07T20:16:15Z,Python,https://microsoft-recommenders.readthedocs.io/en/latest/,Best Practices on Recommendation Systems
jupyter/nbgrader,jupyter-notebook,2892,66,1404,677,18,17836,970,258,180,FALSE,2014-09-13T03:27:36Z,2021-01-06T04:41:30Z,Python,https://nbgrader.readthedocs.io/,A system for assigning and grading notebooks
executablebooks/jupyter-book,jupyter-notebook,1202,64,1150,469,25,65141,2011,293,257,FALSE,2018-06-14T01:55:51Z,2021-01-07T21:38:46Z,Python,http://jupyterbook.org,"Build interactive, publication-quality documents from Jupyter Notebooks"
awslabs/autogluon,scikit-learn,460,48,851,500,10,7531,2895,372,148,FALSE,2019-07-29T18:51:24Z,2021-01-07T18:46:06Z,Python,https://auto.gluon.ai/,"AutoGluon: AutoML for Text, Image, and Tabular Data"
ageitgey/face_recognition,machine-learning,211,42,1249,166,2,103912,38036,10725,568,FALSE,2017-03-03T21:52:39Z,2021-01-07T19:40:05Z,Python,,The world's simplest facial recognition api for Python and the command line
