Id,FileName,1,1.1,,,,,,,component,subcomponents
148,efficientdet/aug/autoaugment_test.py,efficientdet/aug/autoaugment_test.py,efficientdet/aug/autoaugment_test.py,,,,No assertion,verify no syntax error/ simply testing for autoaugment and randaugment/ manual monitoring,,data augumentation/ autoaugment,"autoaugment_policy/ varifying syntax error, random augment_policy/ distort image_with_randaugment"
151,efficientdet/backbone/efficientnet_builder_test.py,efficientdet/backbone/efficientnet_builder_test.py,efficientdet/backbone/efficientnet_builder_test.py,,,13,assertEqual,"error-handling/ AssertionError, check feature type usage, check hyperparameter usage and comfirm the return results with predefined",,building Efficient nn architecture,"model_params, efficientnet_b0, efficientnet_b1..7, efficientnet_b0_with_customized_num_classes, efficientnet_b0_with_features_only, efficientnet_b0_with_pooled_features_only, efficientnet_b0_fails_if_both_features_requested, efficientnet_b0_base"
153,efficientdet/backbone/efficientnet_model_test.py,efficientdet/backbone/efficientnet_model_test.py,efficientdet/backbone/efficientnet_model_test.py,,,9,"5:assertEqual, 2:assertIn, 2:assertNotIn","check assertNotIn/assertIn model.endpoints, check if variable usage in the output model using assertIn, check the block arguments output shape with defined,  ",,Efficient model,"Bottomnet Residual block,fused_bottleneck_block, bottleneck_block_with_superpixel_layer, bottleneck_block_with_superpixel_tranformation, SE block arguments, variables in blocks, reduction point with single block/layer, reduction point with single block/layer, "
159,efficientdet/dataset/create_coco_tfrecord_test.py,efficientdet/dataset/create_coco_tfrecord_test.py,efficientdet/dataset/create_coco_tfrecord_test.py,,,27,"2:assertTrue, 23:assertEqual, 1:assertAllEqual, 1:assertListEqual","check for specific character if exist during sharding in tfRecords files, compare lists items equal, compare segmentation len, compare features.items to specified values during masking/ for different datatatypes  ",,Data Transformation/ coco_tfrecord,"create_tf_example, reate_tf_example_with_instance_masks, create_sharded_tf_record, "
192,efficientdet/visualize/vis_utils_test.py,efficientdet/visualize/vis_utils_test.py,efficientdet/visualize/vis_utils_test.py,,,14,"13:assertEqual, 1:assertRaises","check if test image pinus original is greaterthan 0,  compare width and height seperatly with initial value, compare image shape, error-based/ AssertionError if two features requestion to build the model, check the of model params using equal",,Data Visualization utils,"get_prime_multiplier_for_color_randomness, colorful_test_image, image_with_five_channels, test_grayscale_image, draw_bounding_box_on_image_array, draw_bounding_boxes_on_image, draw_bounding_boxes_on_image_array, draw_bounding_boxes_on_image_tensors, draw_bounding_boxes_on_image_tensors_with_track_ids, draw_bounding_boxes_on_image_tensors_with_additional_channels, draw_bounding_boxes_on_image_tensors_grayscale, draw_keypoints_on_image, draw_keypoints_on_image_array, draw_mask_on_image_array, add_cdf_image_summary, add_hist_image_summary, eval_metric_ops, visualize_boxes_and_labels_on_image_array, "
263,efficientdet/dataset/create_pascal_tfrecord_test.py,efficientdet/dataset/create_pascal_tfrecord_test.py,efficientdet/dataset/create_pascal_tfrecord_test.py,,,14,assertListEqual,"check for specific character if exist during sharding in tfRecords files, compare lists items equal",,Data Transformation/ pascal_tfrecord and saving file format,convert dict_to_tf_example
284,efficientdet/backbone/efficientnet_lite_builder_test.py,efficientdet/backbone/efficientnet_lite_builder_test.py,efficientdet/backbone/efficientnet_lite_builder_test.py,,,6,assertEqual,check the number of params used with expected defined,,Efficient net Builder,"model_params, efficientnet_b0, efficientnet_b1, efficientnet_b2, efficientnet_b3, efficientnet_b4"
374,efficientdet/efficientdet_arch_test.py,efficientdet/efficientdet_arch_test.py,efficientdet/efficientdet_arch_test.py,,interesting,33,"5:assertAllCloseAccordingToType,24:assertSequenceEqual/assertEqual, 3:assertIn/ assertIs","approximate the FeatureFusion components all using assertAllCloseAccordingToType, compares freeses variable list size, check the variable dtype matches, check for two assertSequenceEqual,  ",,Efficient Detection Architechture,"build_model, efficientdet_d0, efficientdet_d0_channel_first, efficientdet_d0_511_513, efficientdet_d1, efficientdet_d1_640_1280, efficientdet_d2..7, efficientdet_lite0..4, EfficientDetArchPrecisionTest, float16, bfloat16, float32, BackboneTest (backbone_feats), FreezeTest (freeze_var_list), FeatureFusionTest (sum, attn, fastattn, channel_attn, channel_fastattn ) "
375,efficientdet/hparams_config_test.py,efficientdet/hparams_config_test.py,efficientdet/hparams_config_test.py,,,14,assertEqual,comparizon of the hyperparams dictionary,,Hyperparams Config,"config_override, config_yaml, config_override_recursive, config_override_list"
376,efficientdet/utils_test.py,efficientdet/utils_test.py,efficientdet/utils_test.py,,,24,"6:assertAllClose, 5:assertEqual, 9:assertTrue, 2:assertFalse, 1:assertIn, 1:assertIs","approximate activation function results using assertAllClose, check the precision_float16 using assertIs, check the feats size by comparing json files with assertEqual, compare parse_image_size, check if component exist assertTrue or not assertFalse, ",,Utility file test,"archive_ckpt (Save checkpoint if the new objective is better/ Skip checkpoint if the new objective is worse), image_size, get_feat_sizes, precision_float16, Activation Functions(swish, hswish, relu, relu6, mish)"
